bhat	beta	type
-2.656902e-02	0.000000e+00	2e+00
-2.183150e-02	0.000000e+00	1e+00
2.370625e-03	0.000000e+00	2e+00
-4.112947e-02	0.000000e+00	1e+00
-3.588712e-02	0.000000e+00	2e+00
2.919615e-02	0.000000e+00	1e+00
8.314752e-03	0.000000e+00	2e+00
8.596931e-02	0.000000e+00	1e+00
1.705111e-01	0.000000e+00	2e+00
6.082626e-02	0.000000e+00	1e+00
9.513473e-02	0.000000e+00	2e+00
-4.401908e-02	0.000000e+00	1e+00
-8.729914e-02	0.000000e+00	2e+00
1.046679e-02	0.000000e+00	1e+00
7.790727e-02	0.000000e+00	2e+00
-4.779117e-02	0.000000e+00	1e+00
-1.151738e-02	0.000000e+00	2e+00
-5.709062e-02	0.000000e+00	1e+00
-8.546772e-02	0.000000e+00	2e+00
1.752535e-02	0.000000e+00	1e+00
-3.166015e-03	0.000000e+00	2e+00
-3.523937e-02	0.000000e+00	1e+00
-7.413541e-02	0.000000e+00	2e+00
9.917959e-03	0.000000e+00	1e+00
7.150156e-02	0.000000e+00	2e+00
-7.093825e-03	0.000000e+00	1e+00
3.194017e-02	0.000000e+00	2e+00
-6.300439e-02	0.000000e+00	1e+00
-1.218389e-01	0.000000e+00	2e+00
1.005751e-01	0.000000e+00	1e+00
2.169111e-02	0.000000e+00	2e+00
3.044320e-02	0.000000e+00	1e+00
3.845475e-02	0.000000e+00	2e+00
1.026711e-01	0.000000e+00	1e+00
1.515855e-01	0.000000e+00	2e+00
-4.680283e-03	0.000000e+00	1e+00
1.371100e-02	0.000000e+00	2e+00
5.078108e-02	0.000000e+00	1e+00
9.570049e-03	0.000000e+00	2e+00
1.347098e-03	0.000000e+00	1e+00
1.178819e-03	0.000000e+00	2e+00
2.872390e-02	0.000000e+00	1e+00
2.077144e-02	0.000000e+00	2e+00
6.496034e-03	0.000000e+00	1e+00
-1.702628e-04	0.000000e+00	2e+00
-3.118717e-02	0.000000e+00	1e+00
4.748987e-02	0.000000e+00	2e+00
8.957722e-02	0.000000e+00	1e+00
1.233755e-01	0.000000e+00	2e+00
-1.355521e-02	0.000000e+00	1e+00
-5.252627e-02	0.000000e+00	2e+00
-2.187884e-02	0.000000e+00	1e+00
4.618867e-02	0.000000e+00	2e+00
3.639761e-03	0.000000e+00	1e+00
1.044980e-01	0.000000e+00	2e+00
-4.417328e-02	0.000000e+00	1e+00
2.202447e-02	0.000000e+00	2e+00
2.213554e-02	0.000000e+00	1e+00
-3.829874e-02	0.000000e+00	2e+00
7.878768e-02	0.000000e+00	1e+00
1.881767e-01	0.000000e+00	2e+00
4.083292e-02	0.000000e+00	1e+00
7.391760e-02	0.000000e+00	2e+00
-2.009156e-02	0.000000e+00	1e+00
4.753430e-03	0.000000e+00	2e+00
-5.843703e-02	0.000000e+00	1e+00
-1.030539e-01	0.000000e+00	2e+00
-2.996573e-02	0.000000e+00	1e+00
6.837221e-02	0.000000e+00	2e+00
1.476479e-02	0.000000e+00	1e+00
-5.319699e-04	0.000000e+00	2e+00
-7.570955e-02	0.000000e+00	1e+00
3.723605e-02	0.000000e+00	2e+00
-1.196768e-02	0.000000e+00	1e+00
6.815901e-02	0.000000e+00	2e+00
1.380866e-02	0.000000e+00	1e+00
2.713079e-02	0.000000e+00	2e+00
-8.039914e-02	0.000000e+00	1e+00
-9.523152e-02	0.000000e+00	2e+00
1.146320e-02	0.000000e+00	1e+00
-1.318280e-04	0.000000e+00	2e+00
4.439712e-02	0.000000e+00	1e+00
-4.524046e-03	0.000000e+00	2e+00
-4.751315e-02	0.000000e+00	1e+00
-1.544197e-02	0.000000e+00	2e+00
-6.294019e-03	0.000000e+00	1e+00
-1.318748e-02	0.000000e+00	2e+00
-2.077599e-03	0.000000e+00	1e+00
1.267976e-02	0.000000e+00	2e+00
3.201825e-02	0.000000e+00	1e+00
8.823543e-02	0.000000e+00	2e+00
-1.228070e-02	0.000000e+00	1e+00
-3.134081e-02	0.000000e+00	2e+00
3.609938e-02	0.000000e+00	1e+00
2.758877e-02	0.000000e+00	2e+00
-7.620724e-02	0.000000e+00	1e+00
4.209622e-03	0.000000e+00	2e+00
8.016186e-02	0.000000e+00	1e+00
4.964054e-02	0.000000e+00	2e+00
2.464497e-02	0.000000e+00	1e+00
6.051367e-02	0.000000e+00	2e+00
4.208227e-02	0.000000e+00	1e+00
9.688128e-02	0.000000e+00	2e+00
7.560294e-02	0.000000e+00	1e+00
8.817751e-02	0.000000e+00	2e+00
-2.677750e-02	0.000000e+00	1e+00
6.378507e-02	0.000000e+00	2e+00
2.456030e-02	0.000000e+00	1e+00
5.288419e-02	0.000000e+00	2e+00
-6.158357e-02	0.000000e+00	1e+00
-4.823398e-02	0.000000e+00	2e+00
1.955701e-02	0.000000e+00	1e+00
2.654388e-02	0.000000e+00	2e+00
3.006884e-02	0.000000e+00	1e+00
5.489962e-02	0.000000e+00	2e+00
-1.464034e-02	0.000000e+00	1e+00
1.913396e-02	0.000000e+00	2e+00
-3.122170e-02	0.000000e+00	1e+00
-8.576688e-02	0.000000e+00	2e+00
-1.155537e-01	0.000000e+00	1e+00
-1.772605e-01	0.000000e+00	2e+00
-2.463433e-02	0.000000e+00	1e+00
3.693588e-02	0.000000e+00	2e+00
1.316320e-02	0.000000e+00	1e+00
1.754014e-02	0.000000e+00	2e+00
5.982906e-02	0.000000e+00	1e+00
7.271630e-02	0.000000e+00	2e+00
4.485103e-02	0.000000e+00	1e+00
7.950042e-02	0.000000e+00	2e+00
-2.770698e-02	0.000000e+00	1e+00
3.557030e-03	0.000000e+00	2e+00
2.666218e-03	0.000000e+00	1e+00
6.022860e-02	0.000000e+00	2e+00
-3.633074e-02	0.000000e+00	1e+00
-8.509957e-02	0.000000e+00	2e+00
4.278023e-02	0.000000e+00	1e+00
1.065959e-01	0.000000e+00	2e+00
-2.101659e-02	0.000000e+00	1e+00
-3.108441e-02	0.000000e+00	2e+00
4.473556e-02	0.000000e+00	1e+00
7.284471e-02	0.000000e+00	2e+00
-1.494250e-01	0.000000e+00	1e+00
-1.343422e-01	0.000000e+00	2e+00
8.401861e-02	0.000000e+00	1e+00
-3.166987e-02	0.000000e+00	2e+00
3.349899e-02	0.000000e+00	1e+00
5.058682e-02	0.000000e+00	2e+00
8.245033e-02	0.000000e+00	1e+00
9.291156e-02	0.000000e+00	2e+00
-2.917863e-02	0.000000e+00	1e+00
-9.533846e-02	0.000000e+00	2e+00
1.680175e-02	0.000000e+00	1e+00
6.087029e-03	0.000000e+00	2e+00
5.891904e-02	0.000000e+00	1e+00
3.567327e-02	0.000000e+00	2e+00
2.953678e-02	0.000000e+00	1e+00
-1.761137e-02	0.000000e+00	2e+00
-5.138299e-02	0.000000e+00	1e+00
-8.879799e-02	0.000000e+00	2e+00
7.794807e-02	0.000000e+00	1e+00
3.125870e-02	0.000000e+00	2e+00
-1.639495e-02	0.000000e+00	1e+00
1.197359e-01	0.000000e+00	2e+00
-1.994738e-02	0.000000e+00	1e+00
-5.659788e-02	0.000000e+00	2e+00
-3.101543e-02	0.000000e+00	1e+00
